*--*  3/15/98  -  10:45:54 PM  *--*
@list
0: thing
1: axe
2: battleaxe
3: blowgun
4: bolts
5: bo-stick
6: bow
7: bow
8: bow
9: club
10: crossbow
11: crossbow
12: dagger
13: dart
14: dirk
15: glaive
16: greatsword
17: gun
18: halberd
19: handgun
20: harpoon
21: javelin
22: katana
23: kusari-gama
24: lance
25: mace
26: mattock
27: naginata
28: nunchaku
29: pike
30: pistol
31: quarterstaff
32: rapier
33: rifle
34: sabre
35: sai
36: scimitar
37: shotgun
38: shuriken
39: sling
40: spear
41: staff
42: star
43: stiletto
44: stone
45: sword
46: sword
47: trident
48: wakizashi
49: warhammer
50: armor
51: armor
52: mail
53: mail
54: mail
55: basinet
56: helm
57: buckler
58: shield
59: shield
60: arch
61: bridge
62: crack
63: crevice
64: anti-item
65: door
66: door
67: anti-item
68: gate
69: entrance
70: hole
71: hole
72: opening
73: passage
74: path
75: road
76: trail
77: tunnel
78: boulder
79: hole
80: path
81: stairway
82: trail
83: wall
84: bed
85: bed
86: chair
87: chest
88: chest
89: lantern
90: lockpick
91: table
92: batik
93: coffer
94: bag
95: sack
96: trunk
97: casket
98: strongbox
99: agate
100: alexandrite
101: amethyst
102: aquamarine
103: bloodstone
104: carnelian
105: citrine
106: coral
107: diamond
108: emerald
109: garnet
110: jacinth
111: jasper
112: stone
113: moonstone
114: obsidian
115: onyx
116: opal
117: pearl
118: ruby
119: sapphire
120: sardonyx
121: topaz
122: tourmaline
123: turquoise
124: anklet
125: bracelet
126: brooch
127: earrings
128: medallion
129: necklace
130: nosering
131: ring
132: bangle
133: barrette
134: comb
135: earcuff
136: hairpin
137: pendant
138: chalice
139: crown
140: ewer
141: flagon
142: idol
143: mirror
144: orb
145: scepter
146: statue
147: tiara
148: urn
149: amulet
150: idol
151: medallion
152: ring
153: orb
154: pendant
155: rod
156: wand
157: talisman
158: bottle
159: flask
160: potion
161: coin
162: coin
163: coin
164: script
165: icon
166: figurine
167: vial
168: scroll
169: amulet
170: idol
171: medallion
172: necklace
173: orb
174: pendant
175: talisman
176: amulet
177: idol
178: medallion
179: necklace
180: orb
181: pendant
182: talisman
183: amulet
184: idol
185: medallion
186: necklace
187: orb
188: ring
189: talisman
190: needle
191: anti-item
192: sheets
193: pillow
194: bearskin
195: fireplace
196: logs
197: fountain
198: water
199: door
200: door
201: desk
202: manuscript
203: policy
204: sign
205: claws
206: arm
207: leg
208: ear
209: armor
210: telepathor
211: reflexor
212: eye
213: rubble
214: skirt
215: whip
216: jacket
217: boots
218: trenchcoat
219: gate
220: collar
221: hipboots
222: brassiere
223: bustiere
