word endings and modifiers...
english         drakin
...er           ...ra
...est          ...te
...ible         ...dra
...tion         ...ijo
...ing          ...tak
...ly           ...lik
...dom          ...ejh
...al           ...do
...ness         ...dao
...ity          ...chi
...ance         ...gado

add ya(do) to nouns to form a verb 
add re to verbs to form past tense
add st to words to make them plural
The suffix im... is Chs'

ado              if                      a               na
aehrt            accord                  able            dra
aelna            sorrow                  accord          aehrt
akgye            dire                    action          etoiya
akgyete          direst                  ahead           cafyl
akrebo           depression              all             odo
argat            example                 always          odtae
arvvyat          has                     an              nas
asstrakya        exhaust                 any             pu
at               ever                    anything        putak
atande           high                    as              tzba
atandete         highest                 attend          mogyre
atyon            every                   attending       mogyrtak
badan            ground                  avoid           bija
badanputak       groundwork              because         enjiko
baen             idea                    been            tbre
baen'cheng       ideal                   being           tbtak
bierk            straight                better          najeppo
bija             avoid                   birth           elraeyandin
botok            enter                   both            doko
brataszh         repress                 bring           rik
cafydo           forward                 but             ost
cafyl            ahead                   call            krakt
chaktat          compassion              called          kraktre
chigan           make                    child           iko
cheng            thought                 comfort         rysspar
chi              lay                     comfortable     rysspardra
chs'at           never                   compassion      chaktat
chs'ek           not                     compell         puzje
chuka            harm                    contain         hokya
dagda            hard                    content         norenko
Dana'ulnar       country                 could           sare
dao              is                      country         Dana'ulnar
daorest          were                    craft           feesh
daree            return                  crafty          feeshet
dashyr           great                   decent          juplarek
deena            just                    deep            ftun
dejheer          peace                   delight         kodisha
dekoene          possible                demon           makratat
dekoenelachi     possiblity              depression      akrebo
dessyb           impose                  destination     tyashijo
doko             both                    dire            akgye
donkash          necessary               direst          akgyete
donkashchi       necessity               do              ya
dova             most                    does            yast
dra              able                    easy            jeda
ebodo            welfare                 empty           khan
elraeya          give                    enter           botok
elraeyandin      birth                   eternal         rahjha
engratk          sense                   ever            at
enjiko           because                 every           atyon
eraweya          shattered               example         argat
etoi             to                      except          nacht
etoiya           action                  exhaust         asstrakya
eyto             let                     eye             pratar
ezht             void                    fear            sstoojk
fak              vice                    fill            ibo
feesh            craft                   finite          noghr
feeshet          crafty                  firm            sypk
foong            old                     forward         cafydo
foongyb          older                   give            elraeya
ftun             deep                    go              tg
ftun'ylir        well(deep river)        govern          trova
fugand           low                     government      trovasheckt
gaevanre         slaughter               gravely         unjatde
ganja            serve                   great           dashyr
gobadoya         reconcile               ground          badan
gohd             tree                    groundwork      badantoka
gova             world                   happen          shadass
gradova          utmost                  happy           lije
greesh           wish                    hard            dagda
grif             mark                    harm            chuka
gyataba          personal                has             arvvyat
gyda             like                    he              gyva
gyitabe          yourself                hidden          taek
gyova            who                     hide            taekya
gyree            how                     high            atande
gyto             others                  highest         atandete
gyva             he                      honest          horvate
gyve             she                     honor           horva
haneesh          wind                    how             gyree
hodaedya         tolerate                idea            baen
hokya            contain                 ideal           baen'cheng
horva            honor                   if              ado
horvate          honest                  impose          dessyb
ibo              fill                    inside          vadherijzha
ichii            misery                  into            vadhetoi
iko              child                   is              dao
imotr            nor                     just            deena
ion              over                    lay             chi
jeda             easy                    let             eyto
jhella           look                    light           ogda
jhellash         view                    like            gyda
jo               yet                     loftiness       jukyrdao
jukyr            lofty                   lofty           jukyr
jukyrtbya        loftiness               look            jhella
juplarek         decent                  low             fugand  
karaskya         pierce                  make            chigan   
kata             weapon                  mark            grif    
kha              only                    Master          natonga 
khan             empty                   misery          ichii   
kodisha          delight                 moderate        reeshak 
kon'vahde        within                  moral           le'potak        
krakt            call                    most            dova    
kraktre          called                  mother          soik'a  
kree             some                    necessary       donkash 
kwa              three                   necessity       donkashchi      
le'potak         moral                   never           chs'at  
lije             happy                   nonsense        podoranj        
makratat         demon                   nor             imotr   
manda            own                     not             chs'ek  
mogyre           attend                  old             foong   
mogyrtak         attending               older           foongra 
na               a                       only            kha     
nacht            except                  others          gyto    
najeppo          better                  over            ion     
nas              an                      own             manda   
natonga          Master                  patient         ratakege        
neybra           rejoice                 peace           dejheer 
noghr            finite                  people          Rak'Kesh        
norenko          content                 perfect         opalengk        
nyhan            result                  personal        gyataba 
ochee            tool                    pierce          karaskya        
odo              all                     point           steik   
odtae            always                  possible        dekoene 
ogda             light                   possiblity      dekoenelachi    
ogdashi          radiant                 practical       rumaekando    
opalengk         perfect                 practice        rumaek  
osh              so                      present         ritzho
ost              but                     put             yust
podoranj         nonsense                radiant         ogdashi
pratar           eye                     reconcile       gobadoya
pretak           restrain                rejoice         neybra
pretakest        restraint               repress         brataszh
pu               any                     restrain        pretak
putak            anything                restraint       pretakest
puzje            compell                 result          nyhan
rahjha           eternal                 return          daree
Rak'Kesh         people                  ritual          ximen
rasta            will                    roots           sedryth
ratakege         patient                 say             reba
reba             say                     sense           engratk
reeshak          moderate                serve           ganja
renkod           victory                 shattered       eraweya
rijzha           side                    she             gyve
rik              bring                   side            rijzha
ritzho           present                 simple          tylepoa
rumaek           practice                slaughter       gaevanre
rumaekando       practical               so              osh
ryan             those                   soft            tala
ryi              these                   some            kree
rysspar          comfort                 sorrow          aelna
