ado              if                     
aehrt            accord                 
aelna            sorrow                 
akgye            dire                   
akgyete          direst                 
akrebo           depression             
argat            example                
arvvyat          has                    
asstrakya        exhaust                
at               ever                   
atande           high                   
atandete         highest                
atyon            every                  
badan            ground                 
badanputak       groundwork             
baen             idea                   
baen'cheng       ideal                  
bierk            straight               
bija             avoid                  
botok            enter                  
brataszh         repress                
cafydo           forward                
cafyl            ahead                  
chaktat          compassion             
chigan           make                   
cheng            thought                
chi              lay                    
chs'at           never                  
chs'ek           not                    
chuka            harm                   
dagda            hard                   
Dana'ulnar       country                
dao              is                     
daorest          were                   
daree            return                 
dashyr           great                  
deena            just                   
dejheer          peace                  
dekoene          possible               
dekoenelachi     possiblity             
dessyb           impose                 
doko             both                   
donkash          necessary              
donkashchi       necessity              
dova             most                   
dra              able                   
ebodo            welfare                
elraeya          give                   
elraeyandin      birth                  
engratk          sense                  
enjiko           because                
eraweya          shattered              
etoi             to                     
etoiya           action                 
eyto             let                    
ezht             void                   
fak              vice                   
feesh            craft                  
feeshet          crafty                 
foong            old                    
foongyb          older                  
ftun             deep                   
ftun'ylir        well(deep river)       
fugand           low                    
gaevanre         slaughter              
ganja            serve                  
gobadoya         reconcile              
gohd             tree                   
gova             world                  
gradova          utmost                 
greesh           wish                   
grif             mark                   
gyataba          personal               
gyda             like                   
gyitabe          yourself               
gyova            who                    
gyree            how                    
gyto             others                 
gyva             he                     
gyve             she                    
haneesh          wind                   
hodaedya         tolerate               
hokya            contain                
horva            honor                  
horvate          honest                 
ibo              fill                   
ichii            misery                 
iko              child                  
imotr            nor                    
ion              over                   
jeda             easy                   
jhella           look                   
jhellash         view                   
jo               yet                    
jukyr            lofty                  
jukyrtbya        loftiness              
juplarek         decent                 
karaskya         pierce                 
kata             weapon                 
kha              only                   
khan             empty                  
kodisha          delight                
kon'vahde        within                 
krakt            call                   
kraktre          called                 
kree             some                   
kwa              three                  
le'potak         moral                  
lije             happy                  
makratat         demon                  
manda            own                    
mogyre           attend                 
mogyrtak         attending              
na               a                      
nacht            except                 
najeppo          better                 
nas              an                     
natonga          Master                 
neybra           rejoice                
noghr            finite                 
norenko          content                
nyhan            result                 
ochee            tool                   
odo              all                    
odtae            always                 
ogda             light                  
ogdashi          radiant                
opalengk         perfect                
osh              so                     
ost              but                    
podoranj         nonsense               
pratar           eye                    
pretak           restrain               
pretakest        restraint              
pu               any                    
putak            anything               
puzje            compell                
rahjha           eternal                
Rak'Kesh         people                 
rasta            will                   
ratakege         patient                
reba             say                    
reeshak          moderate               
renkod           victory                
rijzha           side                   
rik              bring                  
ritzho           present                
rumaek           practice               
rumaekando       practical              
ryan             those                  
ryi              these                  
rysspar          comfort                
rysspardra       comfortable            
sago             wise                   
sagoejh          wisdom                  
sangi            try                    
sare             could                  
sedryth          roots                  
shadass          happen                 
shzat            sun                    
soik'a           mother                 
sstoojk          fear                   
steik            point                  
sto              toward                 
sypk             firm                   
tae              way                    
taek             hidden                 
taekya           hide                   
tajh             thing                  
tala             soft                   
tbre             been                   
tbtak            being                  
tertegy          when                   
tg               go                     
tgre             went                   
togo             than                   
toka             work                   
trova            govern                 
trovasheckt      government             
tyashijo         destination            
tyl              up                     
tylepoa          simple                 
tzba             as                     
ufas             use                    
ufasre           used                   
unjatde          gravely                
vadherijzha      inside                 
vadhetoi         into                   
vheda            teach                  
vhedatak         teaching               
ximen            ritual                 
ya               do                     
yast             does                   
ygda             supple                 
yi               thus                   
ylak             value                  
yust             put                    
zhasst           source                 
