He starred in both 'Real Genius' and 'Top Gun'|Val Kilmer
She had roles in both '10' and' E.T.'|Dee Wallace
He wrote the book 'Starship Troopers' that's soon to be released as a motion picture.|Robert Heinlein
She wrote the book 'Frankenstein'|Mary Shelley
He wrote the book 'The Puppet Masters' that was a major motion picture.|Robert Heinlein
This actress is the daughter of a famous ventriloquist.|Candice Bergen
He wrote the book 'The Andromeda Strain' that was the basis of the motion picture.|Michael Crichton
She appeared in 'Top Gun' and is in the new movie 'Addicted To Love'|Meg Ryan
This 'Seinfeld' regular appeared in the movie 'Pretty Woman'|Jason Alexander
She went from 'Star Trek' to 'Cheers'|Kirstie Alley
He's gone from 'Lost in Space' to 'Babylon 5'|Billy Mumy
She appeared in 'Star Wars' and 'The Blues Brothers'|Carrie Fisher
He wrote the music for 'Star Wars' and 'Superman'|John Williams
She appeared in 'The Color Purple' and currently hosts her own talk show.|Oprah Winfrey
He was seen in 'Top Gun' and 'Risky Business'|Tom Cruise
She appeared in 'The Color Purple' and was often seen on 'Star Trek: The Next Generation'|Woopi Goldberg
This 'Seinfeld' regular appears in the new movie 'Trial and Error'|Michael Richards
She invented the COBOL computer language and documented the first computer 'bug'|Grace Hopper
This 'ER' regular appeared in 'Top Gun'|Anthony Edwards
The ADA computer language was named after her.|Ada Lovelace
This actor was a president of the United States.|Ronald Reagan
She was the star of 'Deep Throat'|Linda Lovelace
This American president's wife was nicknamed 'Lady Bird'|Lyndon Johnson
This singer appeared in the move 'The First Wives Club'|Bette Midler
This famous architect named his home 'Taliesin'|Frank Lloyd Wright
The actress who said, 'If you want anything, all you have to do is whistle'|Lauren Bacall
The actor who said, 'Sorry about that, Chief!'|Don Adams
The actress who said, 'I want to be alone.'|Greta Garbo
The actor who said, 'That's another fine mess you've gotten me into.'|Oliver Hardy
The actress who said, 'Come up and see me sometime.'|Mae West
The actor who said, 'Now cut that out!'|Jack Benny
The actress who said, 'It's not the men in my life, it's the life in my men.'|Mae West
The comedian who said, 'I never met a man I didn't like.'|Will Rogers
'Babs Gordon' is the secret identity of which superhero?|Batgirl
'Bruce Wayne' is the secret identity of which superhero?|Batman
'Diana Prince' is the secret identity of which superhero?|Wonder Woman
'James Bond' is the creation of which author?|Ian Fleming
'Jane Marple' is the creation of which author?|Agatha Christie
'Perry Mason' was written by which author?|Erle Stanley Gardner
The nanny in the book and movie of the same name written by P.L. Travers.|Mary Poppins
The 1959 top single, 'Mack the Knife' was sung by who?|Bobby Darrin
The 1957 top single, 'Tammy' was sung by who?|Debbie Reynolds
Winnie the Pooh's human friend is who?|Christopher Robin
'Natasha Gurdin' is the real name of which actress: Nastassja Kinski, Ria Perlman, Natalie Wood or Merle Oberon?|Natalie Wood
He led the mutiny against Lt. Bligh on the HMS Bounty.|Fletcher Christian
What is the name of the carnivorous plant belonging to the Addams Family.|Cleopatra
He was the mercenary gun-fighter in the show 'Have Gun, Will Travel'|Paladin
In Greek mythology, who was the famous Gorgon who petrified those who looked at her?|Medusa
The name of the robot in the movie 'The Day the Earth Stood Still'|Gort
What is Wendy's last name in the story of Peter Pan?|Darling
